S1_ID,S2_ID,Original Sentence,New Sentence
68549,14472,"Similarly, the measure adjusts the current funding formula to promise smaller states such as New Hampshire and Delaware a minimum allocation of $1.6 million each in drug grants, or three times the current minimum.","While some organisms require the covering someday could believe kroner at 1.75 Strategists and 135 calculations, Mr. Scalfaro and undertones don't waste the willingness steadily meeting under probity at 1.80 deals and 140 researchers far."
57982,74580,"But the RTC also requires working capital to maintain the bad assets of thrifts that are sold, until the assets can be sold separately.",what we cost before us half compensates long the blue-collar indecisiveness but with less-ambitious cracks denominated into all of the '70s to occur and engage.
90840,8172,"There are many successful schools scattered throughout this nation, some of them in the poorest of ghettos, and they are all sending us the same message.","Before its homeowners were lauded from commission, Qintex Australia voted to 16 casualty-loss schoolmates (12 U.S. reversals) an interstate midday from 33 dullish firehoops Friday."
23305,89503,"Certainly life for her has changed considerably since the days in Kiev, when she lived with her parents, her husband and her two sons in a 2 1/2-room apartment in what she calls silent internal immigration, dreaming of escape.","Mr. Van de Kamp and his hunter-gatherers may wind alleging that the periphery harms antitrust a fertilizer and Advertising midst among long-dated loonies of California's Europa impulsively that perhaps any delisting of extravagant, primary Classic can negotiate under its moonlighting."
69911,30771,"A 190-point plunge in U.S. stock shares compounded the view, they say.",The Allianz purpose advanced to information that Allianz painfully could partake to Paribas.
20936,30878,Solidarity wants it from the West.,That seasonally wows the capitalization snarls.
91204,62740,"Coupled with his current 1.2 million shares and 4% held by an associate, the stake would have given him control of 55% of the concern.","twice a broader-based repression, unless you embody the Stock-fund parking of this phony's Chez Panisse landlord and you feel overall resolved your devout folding strongman retailer."
61832,5067,The company also hopes the latest acquisition will help secure large construction orders from Japanese concerns with U.S. operations.,"As chasing of the House Energy and Commerce Committee, Mr. Dingell bans early reckless such over multilevel cooling."
9931,73824,Mr. Corry might have to dismember the company more than he wants to.,The vibration-control co-author would have to refocus black-majority three-to-five Defenders for 90 roles.
85883,71763,"The latest round of losses is likely to be a serious blow to the Chicago Board Options Exchange, which has never fully recovered from the aftershock of Black Monday, when investors fled the market because of huge losses.","The outstanding of Younkers, after hoping to increase an adjournment for the mid-1992 of year-end Strike simplicities, maintained it will apply a harm in the breaker to tobacco and enable just-in-time hurdles to parry its improviser in kingpin."
10006,69440,So term insurance may not be as cheap as it looks.,It's the insider Party and the strongman re-examination we depress.
82430,7330,"If the investment bank can sell the securities at a higher price than it paid the issuer, it makes a profit.","Happy officials accusations has given recklessly in Campeau-related estimating, and sharply ai essentially been restored fast wrong by the U.S. command."
17390,67671,"The primary purpose of a railing is to contain a vehicle and not to provide a scenic view, says Jack White, a planner with the Indiana Highway Department.","But tremor, as financed by the GNP Growth in Thursday's prospect, is agreed to rescind only 3.5 winter, down from 4.6 lump in the low-key commencement."
97770,53102,"National Pizza said it settled its dispute with Pizza Hut, allowing it to make the purchase.",Would brewers operate at mincemeat and buckle usually or use in minor and shadow on computer-integrated auto-sales?
